Area_sqft,Bedrooms,Age_years,Price
2163,6,46,472128
2029,1,65,299533
2538,6,91,489414
3802,1,93,520472
2737,3,37,509844
1806,5,50,383208
4529,5,62,812265
3175,4,3,617712
1782,6,0,466792
1209,1,7,245889
4913,1,28,770187
4248,2,54,732646
1163,4,2,312533
2498,2,31,464170
3945,2,9,660877
4243,2,73,670893
1995,6,82,426827
3804,6,33,737116
4263,3,96,657030
2353,3,86,386684
1791,2,54,306584
4081,4,91,719191
3957,1,31,637098
2136,6,49,481898
4196,4,6,809033
3499,5,92,590324
3652,6,7,741553
1198,6,64,310316
2660,3,56,466277
4597,1,66,694970
1354,1,87,176462
3974,5,86,689008
2207,5,58,426797
3277,6,71,640328
2233,2,53,394416
4010,3,100,616631
702,3,66,155400
3755,6,50,718760
4718,4,96,745729
4996,2,91,794640
1266,6,7,390059
4889,2,33,808215
2827,2,34,503679
3431,2,95,508061
697,6,87,239330
2430,3,77,414791
4082,3,31,725303
1108,2,45,217241
3772,4,15,727146
1647,1,67,263077
4782,6,36,924950
3897,1,53,599160
3011,4,84,521741
2294,6,13,510468
1159,2,94,169264
3311,3,54,580024
1869,1,47,330936
2486,5,81,526200
646,5,6,263967
3719,4,73,616186
3411,2,6,620717
2234,1,32,355543
2343,2,22,440736
988,1,84,129155
3476,4,18,657632
2459,4,18,522671
2885,5,35,570535
3419,2,28,603508
2302,6,59,503763
4561,5,81,740863
3869,2,1,661318
762,5,0,258064
1123,6,46,362485
1516,3,68,282292
4143,3,19,763067
2549,3,10,464691
4223,3,1,745995
3608,1,66,566210
4590,3,86,731085
2556,6,11,583057
3670,4,19,656424
2182,4,4,500836
2755,1,36,467790
1654,3,37,344133
4999,3,93,768138
3691,3,8,677126
2196,5,97,401570
4491,2,52,688640
2148,5,43,453192
1945,2,98,290615
4699,3,85,766098
4423,3,23,720761
753,5,80,212654
3683,5,73,631339
3057,2,29,535934
598,4,58,189186
2700,2,86,417263
3461,5,95,615296
4933,6,80,835035
4277,5,80,758704
3369,6,13,678188
3734,1,8,595982
4291,5,39,774202
1456,1,65,186497
4567,4,24,816133
660,2,72,121815
4993,6,21,952624
1800,2,3,379978
4487,1,25,695210
2027,6,57,430282
1718,2,28,340113
4996,5,97,844342
3604,3,86,604050
3235,1,36,548540
1454,2,74,242310
3946,1,69,605153
1545,1,17,315725
2193,6,84,438884
3936,6,41,756995
1062,3,99,178762
2985,5,40,571731
3854,1,37,617068
725,2,33,161999
1459,4,16,350232
3567,1,36,553351
1315,1,24,244450
3620,3,75,601968
516,5,86,154625
1743,4,85,326636
2705,6,84,524537
3024,6,26,636651
1569,2,56,276678
3944,4,30,733317
3065,6,5,612732
1560,2,90,302755
2827,5,39,542627
3920,2,97,599068
801,6,11,290381
4776,3,52,802285
1106,3,70,226431
3670,3,9,653486
1199,6,44,357312
1639,3,16,351571
690,4,25,239444
2800,5,84,492657
1480,2,91,230382
3475,2,61,600318
1684,6,45,426859
3827,3,63,642202
3894,3,1,699122
627,1,53,117400
2565,5,64,499701
2316,4,50,456385
1069,2,52,186817
2395,1,35,412618
3233,1,25,513158
4363,6,28,859073
4514,2,20,741667
3401,6,10,706083
2186,4,39,459003
3509,1,10,586302
654,1,35,144912
3037,5,58,601254
1909,4,38,409638
4557,1,98,667661
1284,4,53,255904
3675,2,97,535576
4841,3,54,818088
3306,1,23,559299
1037,5,21,323979
2341,2,68,395858
2955,4,55,564045
1024,6,32,316372
3450,2,35,584910
4631,1,19,730077
4615,4,82,734690
2868,3,98,424325
4347,2,80,654347
4995,1,61,794301
3201,5,97,527095
1471,6,72,342579
1666,4,25,349037
3274,2,65,514081
2482,2,72,403694
1353,3,72,241948
4646,3,39,804693
4236,5,16,825080
4269,6,0,795368
1074,5,88,234440
3761,1,60,580333
1648,1,42,302722
2215,5,41,457165
4354,6,24,828701
2991,5,38,562515
3160,6,34,609344
3624,6,2,770508
3551,4,100,546169
504,6,43,279172
1376,3,50,295903
1491,6,93,344249
4642,6,97,810809
4864,6,11,913546
4965,1,18,809592
1135,3,100,191472
2193,3,43,422011
2182,5,58,443626
619,4,48,175843
1330,6,60,322089
4175,2,16,690565
1869,4,73,376768
1240,4,56,267651
616,3,54,125158
3338,4,46,612637
1650,6,11,466790
2431,6,61,519112
1512,1,79,210734
2164,6,87,405864
1581,6,82,352465
1012,3,7,266616
3349,6,94,588966
1059,1,20,224871
4172,2,80,682733
3843,3,86,619896
4570,2,100,688710
1970,3,79,322755
1080,5,69,295948
2794,4,71,496597
3647,5,24,686471
4749,6,81,832624
2179,2,88,348289
4006,6,11,792684
3244,4,14,646723
3856,3,58,653079
4545,4,25,801071
1743,1,25,319474
3618,4,46,656693
2641,1,31,414222
3559,4,9,697838
3459,1,15,572832
2765,2,70,439244
2979,6,16,645878
2135,6,22,513193
2257,5,25,474533
4952,6,84,874858
2570,3,85,414291
3349,4,6,682741
3751,5,13,708086
4230,3,78,686290
2989,3,6,551710
2131,1,8,431104
3316,6,47,625644
1515,2,71,266737
1848,2,58,304502
3587,5,86,619968
3339,2,92,517921
835,4,81,218742
1395,2,94,247718
4046,5,93,658161
1351,2,38,270005
2187,4,98,409240
2431,1,17,388944
4246,5,58,760188
2927,1,16,498008
2068,1,13,380491
4500,1,30,704554
3238,3,23,558988
3998,6,98,663438
4413,3,59,747478
1566,6,44,412981
4880,1,97,716054
2944,5,2,603917
4607,6,36,822589
3873,4,42,700217
4469,4,39,759334
3046,2,89,453674
1253,6,54,322219
2582,5,86,472349
3274,3,38,562919
3396,1,14,571069
4685,2,3,787314
1275,4,92,263277
2125,3,85,379371
3569,3,24,638521
917,1,12,209803
614,6,81,253457
1116,4,32,261948
4474,5,15,806431
3767,3,41,662950
1325,1,65,247681
2016,5,54,418190
3646,6,98,683437
912,4,41,247729
1228,6,33,337582
3848,3,29,653386
3308,5,12,671788
1175,5,12,320951
3965,5,17,754376
3004,3,31,576269
3467,3,95,543914
3286,6,98,621180
1622,2,38,281009
4579,6,45,831172
2071,4,28,404507
2643,1,61,411910
2187,5,92,426652
4632,2,61,735304
4351,1,56,696191
3940,2,15,661016
4266,6,55,789407
2826,3,9,529351
3414,5,29,665334
4452,6,24,853875
1095,1,83,167898
1228,1,4,233788
1865,1,64,272955
4992,1,93,716714
1198,1,48,201922
895,2,2,233994
4671,6,44,870812
4860,5,13,874038
3002,3,29,514280
2319,3,67,448965
1217,6,17,342921
3282,6,61,648026
4077,3,36,701175
643,3,24,202476
3640,2,47,598969
4991,4,64,826953
3438,5,52,647979
4136,1,78,608628
3722,4,72,659626
1667,6,14,447419
3116,3,48,556392
1562,4,87,287158
2656,5,67,501673
3482,6,11,687542
3794,1,58,579040
1656,1,36,266668
1232,5,60,326061
4830,5,100,800511
1453,3,42,304360
3039,1,69,457347
3824,6,38,739552
3801,4,55,714448
2042,6,62,438297
1691,2,45,295642
3493,2,87,547544
3181,5,10,591636
1717,3,61,322829
2040,2,76,322566
3736,1,97,518554
2886,6,24,619055
4219,6,70,763930
1888,5,51,371152
2356,4,3,487469
1865,5,58,338985
999,4,71,234715
2180,5,19,488666
1010,5,92,218634
4812,5,62,845602
1824,4,53,344950
1655,4,73,305920
2327,5,97,435394
3641,2,56,576377
3986,3,89,632647
2310,3,40,420227
3423,3,2,628231
2714,4,5,544756
4686,4,4,834765
1213,2,4,283999
4102,3,53,674741
4634,3,46,774414
4022,5,86,677725
4768,4,48,786514
1743,3,8,396699
4209,6,98,743341
1581,2,19,363924
955,6,60,262371
1394,6,34,370921
